|-------------------|------------------------------|--------------------|-------|
| Dataset           | Method                       | f(x)               | |S|   |
|-------------------|------------------------------|--------------------|-------|
| bitcoin           | LPA_2-PC_1%                  | 23.310769230769232 |   325 |
|-------------------|------------------------------|--------------------|-------|
| bitcoin           | LPA_2-PC_2seeds              |   29.2972972972973 |   148 |
|-------------------|------------------------------|--------------------|-------|
| bitcoin           | EigenSign                    |  29.52173913043478 |   138 |
|-------------------|------------------------------|--------------------|-------|
| bitcoin           | Random EigenSign             | 14.481257557436518 |   827 |
|-------------------|------------------------------|--------------------|-------|
| bitcoin           | LPA_2-PC_Orchestrator        | 29.616438356164384 |   146 |
|-------------------|------------------------------|--------------------|-------|
| cloister          | LPA_2-PC_1%                  |  6.857142857142857 |    14 |
|-------------------|------------------------------|--------------------|-------|
| cloister          | LPA_2-PC_2seeds              |  6.857142857142857 |    14 |
|-------------------|------------------------------|--------------------|-------|
| cloister          | EigenSign                    |  7.454545454545454 |    11 |
|-------------------|------------------------------|--------------------|-------|
| cloister          | Random EigenSign             |  6.571428571428571 |    14 |
|-------------------|------------------------------|--------------------|-------|
| cloister          | LPA_2-PC_Orchestrator        |  7.454545454545454 |    11 |
|-------------------|------------------------------|--------------------|-------|
| congress          | LPA_2-PC_1%                  |                4.2 |    10 |
|-------------------|------------------------------|--------------------|-------|
| congress          | LPA_2-PC_2seeds              |                4.2 |    10 |
|-------------------|------------------------------|--------------------|-------|
| congress          | EigenSign                    |  6.576923076923077 |    52 |
|-------------------|------------------------------|--------------------|-------|
| congress          | Random EigenSign             |  5.488888888888889 |    90 |
|-------------------|------------------------------|--------------------|-------|
| congress          | LPA_2-PC_Orchestrator        |  6.166666666666667 |    36 |
|-------------------|------------------------------|--------------------|-------|
| epinions          | LPA_2-PC_Orchestrator        | 129.76690391459076 |  1124 |
|-------------------|------------------------------|--------------------|-------|
| epinions          | Random EigenSign             |  73.22674687644609 |  4322 |
|-------------------|------------------------------|--------------------|-------|
| epinions          | EigenSign                    | 128.72173058013766 |  1017 |
|-------------------|------------------------------|--------------------|-------|
| epinions          | LPA_2-PC_2seeds              | 12.818181818181818 |    22 |
|-------------------|------------------------------|--------------------|-------|
| epinions          | LPA_2-PC_1%                  | 125.71088165210485 |  2539 |
|-------------------|------------------------------|--------------------|-------|
| highlandtribes    | LPA_2-PC_2seeds              |  6.181818181818182 |    11 |
|-------------------|------------------------------|--------------------|-------|
